lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
47.0396018, 15.4888665,0,19,25,34,45
47.0435484, 15.4741316,0,16,21,28,37
47.059395, 15.4527205,0,17,23,31,40
47.076041, 15.451031,0,20,27,36,48
47.0760871, 15.450817,0,19,26,34,45
47.056755, 15.4533693,2,12,16,22,29
47.1043004, 15.4014357,0,17,23,30,40
47.0737786, 15.4476048,1,14,19,25,34
47.074046, 15.439967,1,14,19,26,34
47.0701897, 15.4560215,0,16,21,28,37
47.0692646, 15.4586998,0,15,20,27,35
47.0564871, 15.4815624,0,18,24,33,43
47.111284, 15.4985037,0,16,22,30,39
47.0561905, 15.4750754,2,15,20,27,35
47.0675309, 15.443231,0,16,21,28,37
47.0758053, 15.5011564,0,15,21,28,36
47.0781487, 15.4855206,0,18,24,33,43
47.0778957, 15.4639611,3,14,19,25,33
47.0790278, 15.4642614,0,15,21,28,36
47.0677056, 15.4506355,0,12,17,22,30
47.0855762, 15.4308661,2,8,11,15,20
47.0956202, 15.4461328,1,16,22,29,38
47.1080678, 15.4524331,1,17,22,30,40
47.0963444, 15.4394402,0,13,17,23,30
47.1059107, 15.4208078,0,20,27,36,48
47.1022606, 15.4248969,0,11,15,20,26
47.0896407, 15.4597563,0,15,20,26,35
47.0282453, 15.4333075,0,14,19,25,33
47.0265315, 15.4343439,2,18,25,33,43
47.0852822, 15.4428147,0,18,24,33,43
47.0204691, 15.4149304,2,15,20,27,35
47.0234291, 15.4302712,0,15,21,28,37
47.0639731, 15.4248532,1,12,17,22,29
47.0597243, 15.3996736,3,10,13,17,23
47.0257353, 15.4316627,0,14,18,25,32
47.0630947, 15.3992804,2,15,20,27,35
47.0904464, 15.4274682,0,18,24,32,42
47.0612327, 15.4585606,0,18,24,32,42
47.0635483, 15.450871,2,14,18,24,32
47.0674802, 15.4425893,0,14,18,25,33
47.0708903, 15.4342869,2,12,16,22,28
47.0773616, 15.4345422,0,11,15,20,26
47.1062497, 15.4885841,1,10,14,19,25
47.0747106, 15.4302656,0,19,26,35,46
47.0573808, 15.5010001,1,13,18,24,32
47.021784, 15.4045775,0,13,18,24,32
47.0474076, 15.4481404,2,11,15,21,27
47.0185234, 15.4443837,0,16,22,30,39
47.0477066, 15.4534318,2,10,14,19,25
47.0220971, 15.4691287,0,14,19,25,33
47.0591993, 15.4928972,0,12,17,22,29
47.0259096, 15.4346038,0,15,21,28,37
47.0600529, 15.4367196,0,13,18,24,32
47.0182441, 15.4447859,1,12,16,21,28
47.1016344, 15.3879078,2,14,19,26,34
47.0826481, 15.4163295,0,16,21,28,37
47.0961621, 15.3750072,0,15,20,26,35
47.099725, 15.3794937,0,15,21,28,36
47.0806814, 15.4513121,2,13,17,23,31
47.0790352, 15.4579842,0,14,18,25,32
47.0752076, 15.4583774,2,13,17,23,31
47.0720949, 15.4503624,0,14,18,25,32
47.0464267, 15.4294507,0,12,17,23,30
47.0522151, 15.4282936,2,10,14,18,24
47.0426463, 15.4376503,0,15,20,27,36
47.0565327, 15.4172526,1,13,18,24,32
47.0785116, 15.411018,2,10,14,19,25
47.0456967, 15.4301881,0,16,21,28,37
47.0938747, 15.4231635,0,12,16,22,29
47.0850703, 15.4312246,0,15,20,26,35
47.0871663, 15.4740472,1,16,22,29,39
47.0447703, 15.4776458,1,15,20,27,35
47.1139785, 15.4130133,1,17,23,31,41
47.1074783, 15.4177248,2,11,15,21,27
47.113941, 15.4187088,2,16,21,28,37
47.1103712, 15.4132273,0,13,17,23,31
47.1048847, 15.4892906,0,12,17,22,29
47.0700927, 15.4062956,0,13,18,24,31
47.0696815, 15.4314892,0,14,18,25,33
47.085723, 15.4199068,0,15,20,26,35
47.0993922, 15.4513343,0,12,16,21,28
47.0674552, 15.4417914,0,17,23,30,40
47.0673105, 15.4425661,0,16,21,28,37
47.0751593, 15.3967209,1,11,14,19,26
47.0672365, 15.4417817,0,18,24,33,43
47.045599, 15.486034,0,19,26,35,46
47.100245, 15.3949711,3,17,23,31,41
47.0791451, 15.4683359,0,14,19,25,33
47.0432831, 15.4138719,2,12,16,21,28
47.0741594, 15.4399966,0,17,23,31,41
47.0615431, 15.4586696,0,13,18,24,32
47.0215549, 15.4011373,0,18,24,32,42
47.0727915, 15.4362166,0,15,20,27,36
47.0787712, 15.4801672,2,17,23,31,40
47.0664563, 15.4387705,0,15,21,28,37
47.0666028, 15.4466114,2,16,22,29,39
47.0664764, 15.4472333,0,15,20,26,35
47.0902661, 15.4089088,0,19,25,34,45
47.0736344, 15.4208588,0,15,20,27,35
47.1093609, 15.4941124,2,16,21,28,37
47.0538358, 15.4088764,0,19,26,35,45
47.1051599, 15.5129832,1,11,15,20,27
47.1015881, 15.4362646,1,11,15,21,27
47.0674987, 15.4422005,0,17,23,30,40
47.0236577, 15.431439,0,12,16,21,28
47.0817648, 15.4542574,0,19,26,35,46
47.079432, 15.458011,3,13,18,24,32
47.0734839, 15.4201135,0,13,17,23,30
47.0554284, 15.4167856,0,19,26,35,46
47.0922207, 15.4894954,0,18,24,33,43
47.0886214, 15.4799404,0,19,26,34,45
47.0854206, 15.4723753,0,17,23,30,40
47.0905959, 15.4864535,0,12,17,22,29
47.0957528, 15.4997914,0,19,26,35,46
47.0924384, 15.4898864,3,14,19,25,33
47.0939339, 15.4952545,1,17,22,30,39
47.0974529, 15.5046366,0,17,23,30,40
47.0995755, 15.5076112,1,14,19,25,34
47.0896255, 15.4843422,2,16,22,29,38
47.0886987, 15.4805049,2,17,23,30,40
47.0852094, 15.4720244,0,15,21,28,37
47.0895009, 15.4838446,0,12,16,21,28
47.1021797, 15.5120455,1,15,20,27,36
47.0902493, 15.4859676,0,18,24,32,42
47.0958579, 15.5000171,2,13,17,23,30
47.0838741, 15.4697367,0,14,19,26,34
47.0973022, 15.5046098,2,13,18,24,32
47.1020549, 15.5119054,0,19,26,34,45
47.084432, 15.4704098,0,16,22,29,38
47.0784584, 15.4641926,0,16,21,28,37
47.0769097, 15.4974123,0,13,17,23,30
47.0780149, 15.4884623,1,16,21,29,38
47.077078, 15.4950734,2,13,17,23,31
47.0770918, 15.4949326,0,15,20,26,35
47.0781492, 15.4852563,0,13,17,23,31
47.0767338, 15.4974487,0,16,22,29,38
47.0788707, 15.4731137,0,16,21,29,38
47.0787813, 15.4738199,0,14,19,25,33
47.0760104, 15.5001442,0,15,21,28,37
47.0791841, 15.4643255,0,12,16,21,28
47.0766046, 15.457713,0,11,15,20,26
47.0770276, 15.4591898,0,16,21,28,37
47.0768408, 15.4577786,0,15,20,27,35
47.0791474, 15.4395545,0,16,22,29,38
47.0796839, 15.44246,0,20,27,37,48
47.0778534, 15.4467079,0,17,23,30,40
47.0774596, 15.4469476,0,12,16,22,29
47.077029, 15.4493079,0,17,23,31,41
47.0772492, 15.4490974,0,11,15,20,27
47.0779635, 15.4438789,1,13,18,24,32
47.0780843, 15.4433375,0,14,19,26,34
47.0793055, 15.4423789,0,19,25,34,44
47.0764136, 15.4507253,0,13,17,23,30
47.0853964, 15.4302265,0,12,17,22,30
47.1151691, 15.432789,2,14,19,26,34
47.0873665, 15.4296173,0,13,17,23,31
47.1187112, 15.4354914,0,17,23,31,41
47.1189622, 15.4359457,1,12,16,21,28
47.108096, 15.4275258,3,12,16,21,28
47.1007319, 15.419072,2,13,18,24,32
47.0981747, 15.4191149,0,13,18,24,32
47.111581, 15.4315378,2,19,26,35,46
47.1033842, 15.4260382,0,17,23,30,40
47.1039153, 15.4261702,2,15,20,27,35
47.0869509, 15.4283008,0,11,15,21,27
47.09672, 15.4192359,0,17,22,30,39
47.0929681, 15.4226892,3,12,16,22,29
47.1030482, 15.4216938,2,11,14,19,25
47.087041, 15.4290644,0,17,23,31,41
47.068425, 15.4010177,0,15,21,28,36
47.0664859, 15.4009242,0,17,23,30,40
47.0666266, 15.4009557,0,15,21,28,36
47.0656129, 15.4370979,0,17,22,30,39
47.0686919, 15.4460924,0,13,17,23,31
47.0703534, 15.4442727,0,12,16,22,28
47.0707663, 15.4423998,0,16,22,29,38
47.0667691, 15.4417105,0,12,17,23,30
47.0671897, 15.4422271,0,13,17,23,30
47.0682235, 15.4425319,0,13,18,24,32
47.0810423, 15.4448568,0,15,20,26,35
47.0660918, 15.4356236,0,14,18,25,32
47.0725494, 15.4411792,1,11,15,20,26
47.0672437, 15.4418694,0,13,17,23,31
47.0662138, 15.4376964,2,9,12,16,22
47.0675234, 15.4432022,0,16,22,29,38
47.0670322, 15.4415777,0,10,14,19,25
47.0823718, 15.4465868,0,12,16,21,28
47.0663971, 15.4373622,0,15,20,26,35
47.0684772, 15.4458767,0,13,17,23,30
47.0816106, 15.44762,0,18,25,33,44
47.0789213, 15.4477115,2,11,15,20,27
47.0669798, 15.4416098,0,15,20,27,36
47.0664208, 15.4379634,0,14,19,26,34
47.0668697, 15.4415913,0,12,16,21,28
47.0801343, 15.4448657,0,16,21,28,38
47.065506, 15.4360893,0,14,19,25,33
47.057604, 15.4304081,0,16,22,30,39
47.0625088, 15.4308764,3,17,22,30,39
47.0621232, 15.430846,0,20,27,36,47
47.0576542, 15.4304214,0,18,24,32,42
47.0784804, 15.45172,0,14,18,25,32
47.049671, 15.4215021,2,14,19,25,33
47.0668085, 15.431532,0,17,23,31,41
47.074705, 15.4462923,0,16,22,29,38
47.0745888, 15.4504696,0,16,22,29,38
47.0499168, 15.4222051,0,10,14,19,25
47.0783211, 15.4534327,0,14,19,26,34
47.0604775, 15.4307308,0,13,17,23,30
47.0644942, 15.4314259,0,15,20,27,36
47.070885, 15.4477418,0,14,19,26,34
47.0550265, 15.4274296,2,17,23,30,40
47.0749649, 15.4518073,0,15,21,28,36
47.0523925, 15.4281355,0,16,22,30,39
47.0514674, 15.4264521,0,13,18,24,32
47.0447864, 15.445802,2,12,16,22,29
47.0597149, 15.4368282,0,13,18,24,32
47.0467717, 15.4460851,0,14,19,26,34
47.0612089, 15.4376124,2,15,21,28,37
47.0610088, 15.4402318,0,20,27,36,48
47.0529809, 15.4402622,1,14,19,26,34
47.0527832, 15.4435416,0,12,16,22,29
47.0552485, 15.4386482,1,14,18,25,32
47.0640618, 15.4377546,0,13,18,24,32
47.0456636, 15.4489153,0,16,21,28,37
47.0605695, 15.4403083,0,11,14,19,26
47.0528316, 15.4407646,0,15,20,26,35
47.0644759, 15.4377563,0,15,20,27,35
47.0581912, 15.4373901,0,15,20,27,36
