LAT, LON, Pop 
47.02329907,15.37354338,20
47.02874969,15.37278393,7
47.02778692,15.37400357,4
47.02868449,15.37409562,17
47.02861928,15.3754073,4
47.02951684,15.37549938,129
47.03061001,15.37165626,59
47.03150758,15.37174828,3
47.03240515,15.37184031,4
47.03323753,15.37324413,13
47.0341351,15.37333619,6
47.03041441,15.37559146,124
47.03227476,15.37446386,36
47.03220954,15.37577563,78
47.01680312,15.39528497,19
47.01673765,15.39659633,27
47.02214059,15.37869744,4
47.02560029,15.38168914,28
47.02098186,15.38385129,13
47.02553499,15.38300074,29
47.02546967,15.38431233,8
47.02540433,15.38562393,30
47.02533898,15.38693552,14
47.02669367,15.37784643,128
47.02759124,15.37793854,66
47.02855405,15.37671898,9
47.02945162,15.37681108,5
47.02938637,15.37812278,6
47.02662842,15.37915806,8
47.02656314,15.38046969,13
47.02752598,15.3792502,21
47.02746071,15.38056185,6
47.02649785,15.38178131,44
47.02739542,15.38187349,27
47.02842354,15.37934234,37
47.02932111,15.37943448,7
47.02925583,15.38074617,63
47.03034918,15.37690319,2
47.03028393,15.37821491,29
47.0311815,15.37830704,229
47.03214431,15.3770874,7
47.03207906,15.37839917,98
47.03297662,15.37849131,28
47.03021867,15.37952663,7
47.03111623,15.37961878,21
47.03105095,15.38093052,83
47.0300881,15.38215006,25
47.0320138,15.37971094,45
47.03291136,15.3798031,18
47.03194851,15.3810227,23
47.03188322,15.38233445,44
47.02643255,15.38309294,19
47.02733011,15.38318514,79
47.02636723,15.38440455,18
47.02726479,15.38449678,30
47.02816235,15.38458901,178
47.0290599,15.38468124,3
47.02630189,15.38571617,7
47.02719945,15.38580842,54
47.02623654,15.38702778,2
47.02809701,15.38590067,283
47.02803165,15.38721233,15
47.02892921,15.3873046,49
47.03002279,15.38346177,44
47.03092035,15.38355399,11
47.02995746,15.38477348,69
47.03085502,15.38486572,16
47.0318179,15.38364621,14
47.03271546,15.38373844,110
47.03265013,15.38505021,12
47.03354769,15.38514246,2
47.02989212,15.38608518,2
47.03078968,15.38617745,11
47.02982676,15.38739688,32
47.03258479,15.38636198,116
47.03348234,15.38645426,317
47.03162187,15.38758146,29
47.03251942,15.38767375,247
47.03341698,15.38776605,78
47.02527361,15.38824711,14
47.02431067,15.38946639,4
47.02520823,15.38955869,21
47.02424528,15.39077795,194
47.02514283,15.39087027,8
47.02507742,15.39218185,20
47.01776612,15.39406596,3
47.01770067,15.39537735,39
47.0176352,15.39668874,25
47.01756972,15.39800012,11
47.01846727,15.39809256,8
47.0212254,15.39705841,224
47.02115991,15.39836988,10
47.02398353,15.39602415,7
47.0230205,15.39724326,250
47.02205746,15.39846233,15
47.02295501,15.39855478,30
47.02391805,15.3973357,25
47.0248156,15.39742814,31
47.02385256,15.39864724,11
47.0247501,15.3987397,23
47.02706872,15.38843168,27
47.02700334,15.38974331,4
47.02796628,15.38852398,6
47.02886383,15.38861628,12
47.02790089,15.38983563,52
47.02879845,15.38992795,12
47.02604038,15.3909626,6
47.02693794,15.39105494,2
47.02597497,15.39227421,51
47.02687252,15.39236656,27
47.02783549,15.39114728,150
47.02873304,15.39123962,18
47.02777007,15.39245893,26
47.029696,15.39002028,14
47.03059355,15.39011261,15
47.03155649,15.3888932,50
47.03245405,15.38898552,25
47.0314911,15.39020494,12
47.03238865,15.39029728,233
47.03052814,15.39142432,36
47.03046272,15.39273604,46
47.03142569,15.39151668,8
47.03232324,15.39160904,1
47.03136027,15.39282842,38
47.03315537,15.39301318,16
47.02757372,15.39639384,147
47.02853673,15.39517462,8
47.02847127,15.39648628,86
47.02571314,15.39752058,21
47.02564765,15.39883217,71
47.02840578,15.39779793,15
47.02834028,15.39910959,42
47.02949973,15.39395535,113
47.03039728,15.39404775,62
47.02943428,15.39526703,220
47.02936881,15.39657872,25
47.03033183,15.39535945,110
47.03026636,15.39667116,334
47.03129483,15.39414015,43
47.03219238,15.39423255,5
47.03308992,15.39432496,40
47.03122937,15.39545188,26
47.03212692,15.3955443,15
47.0311639,15.3967636,156
47.03206145,15.39685605,195
47.03302446,15.39563673,20
47.03295899,15.3969485,37
47.02930333,15.39789039,11
47.03020087,15.39798286,24
47.03013537,15.39929455,8
47.03109841,15.39807532,5
47.03199596,15.3981678,108
47.0328935,15.39826027,58
47.03103291,15.39938704,17
47.03193045,15.39947954,95
47.03282799,15.39957204,5
47.01660667,15.39921906,2
47.01654115,15.40053041,2
47.01647562,15.40184177,41
47.01750422,15.39931151,13
47.01840177,15.39940396,18
47.0174387,15.40062289,39
47.01833625,15.40071536,2
47.01929931,15.39949642,34
47.02019686,15.39958889,164
47.02109441,15.39968135,16
47.0192338,15.40080785,22
47.02013134,15.40090033,2
47.02102889,15.40099282,17
47.01737317,15.40193426,7
47.01827072,15.40202676,21
47.01730762,15.40324564,193
47.01820517,15.40333816,131
47.02006581,15.40221178,5
47.02096335,15.40230429,13
47.02000025,15.40352322,18
47.0208978,15.40361575,25
