LAT, LON, Pop 
48.21496493,14.32226408,78
48.30799994,14.24652939,25
48.3079482,14.24787506,1
48.30299182,14.25960674,2
48.30388982,14.25968258,4
48.30699844,14.24914506,2
48.30789644,14.24922072,16
48.30694667,14.2504907,79
48.30784467,14.25056639,23
48.30589325,14.25445186,77
48.30689488,14.25183634,146
48.30684308,14.25318198,2
48.30779288,14.25191205,44
48.30774108,14.25325771,20
48.30679126,14.25452761,140
48.30768926,14.25460337,70
48.30578957,14.25714307,8
48.30763742,14.25594903,96
48.30668757,14.25721887,91
48.30758556,14.25729468,136
48.3048397,14.25841285,114
48.3057377,14.25848867,171
48.30478782,14.25975842,7
48.3066357,14.2585645,29
48.30753369,14.25864033,150
48.31202367,14.25901953,6
48.31197178,14.2603653,98
48.31851707,14.2541668,40
48.3157194,14.25663123,26
48.31476954,14.25790126,183
48.31566753,14.25797709,21
48.31292167,14.25909538,8
48.31381966,14.25917124,30
48.31286978,14.26044117,2
48.31376777,14.26051705,27
48.31471766,14.2592471,71
48.31561565,14.25932296,35
48.31466576,14.26059293,80
48.31556376,14.26066882,3
48.31661739,14.25670704,51
48.31751539,14.25678286,16
48.31656553,14.25805293,3
48.31746352,14.25812878,142
48.31841338,14.25685869,30
48.31931137,14.25693451,58
48.32020937,14.25701034,112
48.31836151,14.25820463,56
48.3201575,14.25835633,82
48.31651365,14.25939882,124
48.31646175,14.26074471,22
48.31735974,14.2608206,105
48.32475119,14.25604344,288
48.32110736,14.25708618,13
48.32105549,14.25843219,73
48.32195348,14.25850805,4
48.32380134,14.2573137,6
48.32374947,14.25865978,17
48.3219016,14.25985408,31
48.32279959,14.25992997,6
48.32369758,14.26000586,4
48.32274768,14.26127602,65
48.32364567,14.26135194,91
48.32469933,14.25738955,53
48.32464746,14.25873566,62
48.3273933,14.25761711,5
48.32644344,14.25888741,17
48.32734142,14.25896329,22
48.32459556,14.26008176,13
48.32549355,14.26015766,20
48.32639154,14.26023356,83
48.32728953,14.26030947,141
48.32723762,14.26165564,9
48.33108897,14.25522803,176
48.33013913,14.25649846,70
48.33288495,14.25537969,47
48.32829129,14.25769298,66
48.32918928,14.25776884,105
48.32823941,14.25903918,145
48.32818752,14.26038538,25
48.32908551,14.26046129,19
48.33542331,14.25964638,40
48.33352352,14.26218724,35
48.33447342,14.26091684,57
48.3344215,14.2622632,116
48.33732304,14.25710534,44
48.33822103,14.25718121,5
48.33637318,14.25837588,61
48.33727117,14.25845178,188
48.33632129,14.2597223,3
48.33980939,14.26271901,15
48.34070737,14.262795,8
48.24689999,14.26566365,120
48.247798,14.26573946,2
48.24774604,14.26708352,65
48.24494802,14.26954396,1
48.243998,14.27081204,55
48.24589803,14.26827584,13
48.24859207,14.26850344,71
48.24753802,14.27245971,50
48.24199378,14.27603583,129
48.24104368,14.27730371,10
48.24194169,14.27737973,5
48.24468781,14.27626382,97
48.24463572,14.27760778,93
48.24838398,14.27387972,7
48.24558582,14.27633982,142
48.24648382,14.27641583,15
48.24738183,14.27649183,73
48.24827984,14.27656785,7
48.24732974,14.27783587,52
48.24822774,14.2779119,148
48.23117576,14.29938513,4
48.23112339,14.30072871,62
48.23824543,14.27976329,6
48.23919556,14.27849552,4
48.23914344,14.27983934,73
48.24009357,14.27857155,109
48.24004145,14.27991539,27
48.23909131,14.28118315,144
48.23998932,14.28125923,72
48.23903916,14.28252696,2
48.23993716,14.28260306,31
48.23978061,14.28663455,150
48.23972839,14.28797837,22
48.24099158,14.27864758,9
48.24093946,14.27999144,9
48.24188959,14.27872362,31
48.24088732,14.2813353,33
48.24178533,14.28141139,10
48.24458361,14.27895174,223
48.24363348,14.28021963,76
48.24453148,14.2802957,57
48.24268333,14.28148747,3
48.24358134,14.28156356,214
48.24447934,14.28163966,161
48.24263118,14.28283138,17
48.24352918,14.28290749,266
48.24442719,14.28298361,7
48.24347701,14.28425142,16
48.24437501,14.28432756,61
48.24548161,14.27902779,53
48.24542949,14.28037177,7
48.24637962,14.27910385,9
48.24632749,14.28044785,5
48.24537735,14.28171575,82
48.24627535,14.28179185,33
48.24727763,14.2791799,33
