lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.2733107, 14.313743,0,19,25,34,45
48.2411268, 14.3279456,0,16,21,28,37
48.2410157, 14.3283177,0,17,23,31,40
48.2405754, 14.3304361,0,20,27,36,48
48.2430602, 14.332694,0,19,26,34,45
48.2913481, 14.2997566,0,12,16,22,29
48.3268791, 14.3030966,0,17,23,30,40
48.2903783, 14.2698109,3,14,19,25,34
48.3204347, 14.2797458,0,14,19,26,34
48.32046, 14.2799018,0,16,21,28,37
48.3269645, 14.2794559,0,15,20,27,35
48.330753, 14.2727392,0,18,24,33,43
48.3315097, 14.2717957,0,16,22,30,39
48.3318173, 14.2719729,0,15,20,27,35
48.3324893, 14.270423,3,16,21,28,37
48.3018227, 14.2766367,3,15,21,28,36
48.2553308, 14.3221608,0,18,24,33,43
48.2740943, 14.2800213,0,14,19,25,33
48.2939369, 14.2636883,1,15,21,28,36
48.3076768, 14.2962414,2,12,17,22,30
48.3009248, 14.2934904,3,8,11,15,20
48.3130121, 14.2818666,0,16,22,29,38
48.3151402, 14.2806584,0,17,22,30,40
48.3172926, 14.2830214,3,13,17,23,30
48.321173, 14.283133,0,20,27,36,48
48.3273653, 14.2850518,1,11,15,20,26
48.332342, 14.2898805,0,15,20,26,35
48.3323833, 14.290059,0,14,19,25,33
48.3377269, 14.2931969,0,18,25,33,43
48.3420411, 14.2931124,0,18,24,33,43
48.3477916, 14.2926669,0,15,20,27,35
48.346729, 14.2925881,3,15,21,28,37
48.3177662, 14.2836683,0,12,17,22,29
48.327669, 14.330659,4,10,13,17,23
48.3132329, 14.2602629,3,14,18,25,32
48.2556437, 14.3223562,0,15,20,27,35
48.3203376, 14.2890035,0,18,24,32,42
48.320568, 14.289944,0,18,24,32,42
48.3272083, 14.3044127,2,14,18,24,32
48.3179242, 14.3058592,3,14,18,25,33
48.2905989, 14.2727911,0,12,16,22,28
48.3040306, 14.2825646,0,11,15,20,26
48.2898917, 14.2970216,2,10,14,19,25
48.3061212, 14.2932357,0,19,26,35,46
48.2969729, 14.2950259,0,13,18,24,32
48.2974369, 14.29546,0,13,18,24,32
48.298285, 14.2983763,3,11,15,21,27
48.2925373, 14.3020427,0,16,22,30,39
48.2906043, 14.2980873,0,10,14,19,25
48.2871848, 14.2949176,0,14,19,25,33
48.2837229, 14.2912169,0,12,17,22,29
48.2834168, 14.2921317,2,15,21,28,37
48.2841714, 14.2921052,0,13,18,24,32
48.2797173, 14.2812447,0,12,16,21,28
48.2800544, 14.2816145,3,14,19,26,34
48.2771221, 14.2765593,0,16,21,28,37
48.2769861, 14.2772548,2,15,20,26,35
48.2960289, 14.291412,0,15,21,28,36
48.2961139, 14.2917472,3,13,17,23,31
48.2856127, 14.2862697,0,14,18,25,32
48.2953329, 14.2958469,0,13,17,23,31
48.2748259, 14.2930607,0,14,18,25,32
48.2748414, 14.2937299,0,12,17,23,30
48.2727025, 14.2924913,3,10,14,18,24
48.2679104, 14.2856716,0,15,20,27,36
48.2695091, 14.2889303,0,13,18,24,32
48.2695143, 14.2892563,4,10,14,19,25
48.2695551, 14.2920315,0,16,21,28,37
