LAT, LON, Pop 
48.12422797,16.21855245,187
48.1249727,16.2213401,175
48.13580193,16.22132288,55
48.1357262,16.22266194,16
48.13856601,16.22031424,30
48.13669805,16.22143304,16
48.13759417,16.22154321,44
48.20355152,16.20401235,311
48.20347599,16.20535322,60
48.20250433,16.20658396,6
48.20340044,16.20669409,106
48.20332487,16.20803495,271
48.20452315,16.20278153,452
48.20444763,16.20412243,53
48.20534375,16.20423252,24
48.20526821,16.20557344,24
48.20616432,16.20568356,60
48.20519266,16.20691435,13
48.20608877,16.20702449,147
48.20698488,16.20713464,4
48.20690931,16.2084756,487
48.20780542,16.20858577,27
48.20870152,16.20869595,28
48.21154098,16.20634436,57
48.21049374,16.20891632,30
48.21146542,16.20768544,278
48.21138984,16.20902651,16
48.21378624,16.19851783,1
48.21273918,16.20109006,3
48.21266368,16.20243118,168
48.21258817,16.20377229,18
48.21251264,16.2051134,37
48.21236153,16.20779561,35
48.21228595,16.20913671,31
48.20593762,16.20970636,406
48.20683372,16.20981655,23
48.20772983,16.20992675,522
48.20675812,16.2111575,258
48.20765422,16.21126772,541
48.2066825,16.21249845,61
48.2075786,16.21260869,264
48.20660687,16.21383939,58
48.20750297,16.21394966,51
48.20862593,16.21003695,364
48.20952204,16.21014716,89
48.20855033,16.21137795,13
48.20944643,16.21148818,16
48.21041814,16.21025737,4
48.21131425,16.21036758,163
48.21034253,16.21159841,4
48.21123864,16.21170865,247
48.20847471,16.21271894,2
48.20937081,16.2128292,16
48.20839907,16.21405993,103
48.20929517,16.21417021,84
48.21026691,16.21293945,184
48.21116301,16.21304972,42
48.21019127,16.21428049,66
48.21108737,16.21439078,43
48.20563511,16.21507005,40
48.20653121,16.21518033,278
48.20742731,16.21529062,206
48.20451197,16.21898242,4
48.20630416,16.21920313,6
48.20832341,16.21540092,14
48.20921951,16.21551122,309
48.20914384,16.21685223,103
48.21011561,16.21562153,400
48.21101171,16.21573184,40
48.21003994,16.21696256,97
48.21093603,16.21707289,96
48.20817205,16.21808288,189
48.20906815,16.21819323,233
48.20899244,16.21953423,46
48.20996424,16.21830358,3
48.21086034,16.21841394,13
48.20988854,16.21964461,41
48.21078463,16.21975499,17
48.21221035,16.21047781,369
48.21213474,16.2118189,32
48.21205911,16.21315999,10
48.21198347,16.21450107,439
48.2119078,16.21584215,101
48.21183213,16.21718323,23
48.21175643,16.2185243,5
48.21265253,16.21863467,30
48.21168072,16.21986537,176
48.21257682,16.21997576,10
48.21526509,16.22030697,28
48.21616118,16.22041738,2
48.20891672,16.22087523,268
48.20884099,16.22221622,11
48.20981282,16.22098563,1
48.21070891,16.22109603,113
48.20973708,16.22232664,5
48.21063317,16.22243707,21
48.20786914,16.22344676,19
48.20779337,16.22478773,144
48.20876523,16.22355721,109
48.20868946,16.22489819,40
48.20771759,16.22612868,33
48.20861367,16.22623917,8
48.20966132,16.22366765,3
48.20958555,16.22500866,299
48.21055741,16.22377811,337
48.21048164,16.22511914,369
48.20950976,16.22634967,188
48.21040585,16.22646017,26
48.20316136,16.22691715,11
48.20764179,16.22746964,172
48.20853787,16.22758015,628
48.20943396,16.22769067,48
48.21033004,16.22780119,51
48.21025422,16.22914221,185
48.20741429,16.23149248,4
48.20920644,16.23171365,185
48.21010252,16.23182424,218
48.211605,16.22120644,52
48.21250109,16.22131685,73
48.21152926,16.2225475,173
48.21242534,16.22265794,65
48.21429327,16.2215377,5
48.21421752,16.22287883,53
48.2114535,16.22388856,46
48.21137772,16.22522962,20
48.21234958,16.22399902,169
48.21227381,16.2253401,223
48.21130193,16.22657067,330
48.21219801,16.22668118,29
48.21324567,16.22410949,33
48.21316989,16.22545059,42
48.21414176,16.22421996,35
48.21406598,16.22556109,303
48.2130941,16.22679169,66
48.21399018,16.22690221,65
48.21518936,16.22164813,116
48.21600969,16.22309974,175
48.21690578,16.22321021,39
48.21503784,16.22433044,341
48.21593393,16.22444092,16
48.21496206,16.22567159,339
48.21585815,16.22578209,97
48.21683001,16.22455141,78
48.21675423,16.2258926,62
48.21488626,16.22701273,8
48.21578235,16.22712326,12
48.21667843,16.2272338,345
48.2177261,16.2246619,135
48.21765031,16.22600312,336
48.21862218,16.22477239,37
48.21854639,16.22611364,32
48.21757451,16.22734433,40
48.21847059,16.22745488,75
48.21122612,16.22791172,287
48.21301829,16.22813279,43
48.21391437,16.22824333,227
48.21294246,16.22947388,3
48.21383854,16.22958444,13
48.21107446,16.2305938,8
48.21197054,16.23070438,31
48.2109986,16.23193484,18
48.21189468,16.23204544,230
48.21286662,16.23081497,25
48.2137627,16.23092555,2
48.21279076,16.23215605,114
48.21368683,16.23226666,89
48.21481045,16.22835388,2
48.21570653,16.22846443,30
48.21660261,16.22857498,173
48.21473462,16.22969501,21
48.2156307,16.22980559,33
48.21652678,16.22991617,13
48.21749869,16.22868555,83
48.21839477,16.22879611,278
48.21742286,16.23002676,60
48.21465877,16.23103615,26
48.21555485,16.23114675,4
48.21645093,16.23125735,162
48.21547899,16.2324879,182
48.21637506,16.23259853,56
48.22432212,16.18765549,5
48.22335066,16.18888705,20
48.22424678,16.18899693,9
48.2232753,16.19022846,57
48.22417143,16.19033837,26
48.22409606,16.1916798,170
48.22499217,16.19178973,262
48.22588829,16.19189967,101
48.22402067,16.19302123,26
48.22394527,16.19436266,351
48.22386985,16.19570408,27
48.22491679,16.19313119,30
48.22484138,16.19447264,3
48.2257375,16.19458262,1
48.22476596,16.19581408,94
48.22566208,16.19592409,92
48.22670902,16.19335112,199
48.22663361,16.19469261,29
48.22752973,16.19480261,39
48.22842584,16.19491261,172
48.22655819,16.1960341,373
48.2274543,16.19614412,1
48.22835042,16.19625415,25
48.22558664,16.19726555,172
48.22648275,16.19737559,92
48.22737886,16.19748563,6
48.22827497,16.19759568,311
48.2264073,16.19871708,191
48.22730341,16.19882714,44
48.23484946,16.19299933,43
48.22917109,16.19770573,29
48.22999173,16.19915737,31
48.23185942,16.19803592,142
48.23178395,16.19937754,5
48.23290641,16.19546268,105
48.23268006,16.19948764,125
48.22722793,16.20016865,123
48.22804855,16.20162027,270
48.22797304,16.20296179,33
48.22700141,16.20419314,238
48.22789752,16.2043033,4
48.22505811,16.20665571,75
48.22692587,16.20553463,212
48.22782198,16.20564482,18
48.22685032,16.20687612,16
48.22774642,16.20698633,238
48.22498255,16.20799714,29
48.22490696,16.20933858,21
48.22587865,16.20810737,26
