lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.1484647, 16.3216078,0,19,26,35,46
48.1371754, 16.3165155,0,13,17,23,30
48.2745723, 16.3566263,2,16,22,29,39
48.2697639, 16.3615064,2,13,17,23,31
48.2598348, 16.3671706,0,20,26,35,47
48.1996816, 16.312048,0,12,16,21,28
48.2029581, 16.3131674,0,13,17,23,31
48.1768602, 16.283647,0,14,19,26,34
48.2806524, 16.4112589,0,15,21,28,36
48.1569587, 16.3914393,1,13,17,23,31
48.1564193, 16.3943131,0,13,17,23,31
48.1391867, 16.2713309,0,14,19,26,34
48.1950732, 16.3865477,0,14,18,25,33
48.201842, 16.2588366,0,20,26,35,47
48.1914835, 16.347903,0,16,22,29,39
48.2213793, 16.458953,0,13,18,24,31
48.2092503, 16.3726684,0,17,22,30,39
48.2301959, 16.3480507,0,19,26,35,46
48.2003894, 16.367356,0,16,22,29,38
48.1979166, 16.3251876,0,17,23,31,40
48.1919035, 16.3602182,0,17,23,31,40
48.2854696, 16.4385489,0,15,20,27,35
48.2571437, 16.3993373,0,16,21,28,37
48.1409508, 16.3078205,0,18,25,33,44
48.2770308, 16.373543,0,21,29,38,51
48.2123768, 16.236068,2,13,17,23,31
48.240965, 16.2068306,1,16,22,29,38
48.2220986, 16.3534154,0,14,18,25,32
48.1310309, 16.2413751,1,17,23,30,40
48.2121978, 16.3965254,0,16,21,28,37
48.1460928, 16.2958716,0,17,23,31,41
48.2218082, 16.2473522,3,13,18,24,32
48.1497455, 16.38335,0,12,16,22,29
48.1549686, 16.2721781,2,17,23,31,41
48.2162398, 16.5313077,0,14,19,26,34
48.2157042, 16.5279399,2,12,16,22,29
48.2187815, 16.4902311,0,22,29,39,51
48.2633102, 16.3909767,2,16,21,29,38
48.242658, 16.4498602,3,16,22,29,39
48.1732403, 16.4272381,0,11,14,19,26
48.2376766, 16.4789855,0,19,26,35,45
48.2392476, 16.4992278,0,11,15,21,27
48.2421816, 16.5306469,1,12,16,22,29
48.2469545, 16.5319363,0,17,22,30,39
48.1940615, 16.4081415,0,20,27,36,48
48.1861816, 16.4004287,2,11,15,21,27
48.22434, 16.2433157,2,12,16,22,29
48.1605535, 16.4270188,0,15,21,28,36
48.2006131, 16.3695035,0,14,19,25,33
48.2003446, 16.3696581,0,14,18,25,32
48.255703, 16.4541516,0,15,20,26,35
48.1691109, 16.3699491,0,16,21,28,37
48.1727267, 16.3721554,0,17,23,30,40
48.1360133, 16.2723419,3,13,17,23,31
48.2290541, 16.4930235,3,14,19,26,34
48.2508806, 16.4884437,0,18,24,32,42
48.2545149, 16.4991536,3,14,19,25,33
48.1712299, 16.3375289,0,17,23,31,40
48.2205623, 16.4408975,3,13,18,24,32
48.2524906, 16.3418851,0,12,16,22,29
48.1981192, 16.3507964,0,14,19,26,34
48.2727695, 16.3778185,0,14,19,25,33
48.2687003, 16.4040432,0,17,22,30,39
48.2782295, 16.4515108,0,13,17,23,31
48.1596162, 16.2763632,0,13,18,24,31
48.170696, 16.3032071,0,12,16,22,29
48.1390111, 16.2720642,3,12,16,22,29
48.2423399, 16.4353918,2,10,14,19,25
48.2517568, 16.4610553,2,16,21,29,38
48.1405672, 16.328015,4,12,16,21,28
48.163896, 16.3308963,4,12,16,22,29
48.2224278, 16.3530108,3,12,16,21,28
48.2248511, 16.3493381,0,15,20,27,35
48.2300772, 16.3317677,0,17,23,31,41
48.13803, 16.2751631,0,18,24,32,42
48.2351876, 16.3270682,0,15,20,26,35
48.2360788, 16.3563013,0,14,19,26,34
48.2066499, 16.349331,4,10,13,18,24
48.1973098, 16.3540647,0,16,22,30,39
48.2972603, 16.4205822,4,18,25,33,44
48.2091295, 16.3033534,0,19,26,34,45
48.2850281, 16.4843323,0,13,17,23,31
48.2174913, 16.3588945,0,13,17,23,30
48.1747785, 16.3146853,3,11,14,19,26
48.1757258, 16.3195054,0,15,20,26,35
48.2022381, 16.3514868,0,16,21,28,37
48.2023585, 16.3542824,0,15,20,27,36
48.2018264, 16.3452394,0,15,21,28,37
48.2988217, 16.4205355,0,15,20,27,36
48.3022022, 16.4067589,0,16,22,29,39
48.1614185, 16.3239919,0,13,17,23,30
48.2135863, 16.3702415,0,16,22,29,39
48.1959249, 16.2603004,0,18,24,32,42
48.2108676, 16.3000571,0,14,18,24,32
48.1445625, 16.2807163,0,17,23,31,40
48.207689, 16.3678639,0,12,16,22,28
48.2360255, 16.3011271,3,15,21,28,36
48.2774457, 16.320068,1,16,21,29,38
48.18993, 16.3636253,0,15,21,28,37
48.1924636, 16.3607357,4,14,19,25,33
48.1898128, 16.3656104,0,10,14,19,25
48.1904524, 16.3660852,0,11,15,20,26
48.2530371, 16.2736027,1,15,20,27,36
48.2259364, 16.2833513,0,16,22,30,39
48.2240804, 16.2934334,0,14,19,26,34
48.2219859, 16.2912422,2,14,19,26,34
48.1852369, 16.3353,0,12,16,22,28
48.1792373, 16.3588504,0,18,25,33,44
48.2441477, 16.2594853,1,13,18,24,31
48.2225758, 16.3759064,0,15,20,27,35
48.2317053, 16.3290633,0,16,22,29,38
48.2542095, 16.3171425,3,13,18,24,32
48.2130892, 16.3495299,0,14,19,25,33
48.2859486, 16.4349941,2,15,20,27,35
48.2319388, 16.4942909,4,14,19,26,34
48.2018394, 16.3750027,0,16,21,28,37
48.2290551, 16.3500649,0,17,23,30,40
48.2361613, 16.3489053,0,16,21,28,37
48.1952627, 16.3510405,0,15,20,26,35
48.1947911, 16.3528387,0,14,19,25,33
48.2482908, 16.328512,0,16,21,28,37
48.2405905, 16.3449969,0,16,21,28,37
48.2776366, 16.405197,0,12,16,21,28
48.2542777, 16.4426843,0,15,20,27,35
48.2397985, 16.4904578,0,13,18,24,31
48.2316753, 16.4488816,0,16,21,29,38
48.2464931, 16.3146752,0,15,21,28,37
48.2431612, 16.3218151,0,16,22,29,38
48.2447925, 16.3442627,0,16,22,29,39
48.2134155, 16.3484267,0,16,21,28,37
48.2097819, 16.3488471,0,16,22,30,39
48.1886172, 16.3679148,0,16,22,30,39
48.1900072, 16.3716058,0,14,19,25,34
48.1879618, 16.3731436,0,12,16,22,29
48.1885468, 16.3768655,0,12,17,23,30
48.1879696, 16.3688192,0,16,22,29,38
48.2053838, 16.3515284,0,17,23,31,41
48.2065237, 16.3513124,0,14,18,24,32
48.2096683, 16.3505159,0,10,14,19,25
48.2639235, 16.3213012,1,18,24,32,42
48.2374147, 16.3225075,0,18,24,32,42
48.229835, 16.3324516,0,18,24,32,42
48.2829909, 16.3717199,0,16,21,28,37
48.1633792, 16.4728758,0,15,20,27,36
48.2479279, 16.3116925,3,16,21,28,37
48.2117746, 16.3648306,0,16,21,28,37
48.276708, 16.4149237,3,14,18,24,32
48.1635481, 16.4182808,3,12,16,22,29
48.202392, 16.3616051,3,11,15,20,27
48.1967858, 16.3396353,0,15,20,27,36
48.1707382, 16.4255085,0,13,17,23,30
48.1711763, 16.4257258,3,8,11,15,20
48.1770726, 16.3287032,0,13,18,24,32
48.1775952, 16.3236007,3,12,16,21,28
48.1802997, 16.3245045,2,12,16,22,29
48.180336, 16.3269964,0,17,22,30,40
48.1784146, 16.3268797,0,15,20,27,36
48.1781701, 16.329747,0,12,17,23,30
48.1768347, 16.3337917,0,14,19,25,33
48.1754349, 16.3343646,2,11,14,19,26
48.1695646, 16.4198101,0,18,24,33,43
48.271261, 16.4197074,0,12,16,22,29
48.2414475, 16.3298521,3,11,15,21,27
48.2961127, 16.4143978,3,12,16,21,28
48.1650308, 16.4190487,0,16,22,30,39
48.2862164, 16.3814028,0,13,18,24,32
48.2498792, 16.365181,0,15,20,26,35
48.2115459, 16.2889066,4,15,21,28,37
48.1931728, 16.3492248,0,16,21,28,37
48.1504954, 16.2698915,0,13,17,23,31
48.2769003, 16.4506344,0,19,25,34,45
48.2012834, 16.3146903,3,9,12,17,22
48.199023, 16.3195025,0,15,20,26,35
48.1789964, 16.362819,0,15,20,27,36
48.1981085, 16.3275947,0,12,17,22,29
48.2014251, 16.3378895,4,11,14,19,26
48.1293296, 16.3101213,0,16,21,29,38
48.2232746, 16.3153945,0,11,14,19,25
48.2996823, 16.4190987,0,16,22,29,38
48.2178484, 16.307147,0,13,18,24,31
48.2106402, 16.3104007,0,15,20,26,35
48.1761155, 16.3178601,0,17,22,30,39
48.2018195, 16.3379676,0,15,20,27,35
48.2051626, 16.3684039,0,20,26,35,46
48.2047576, 16.3693808,2,12,16,22,29
48.2019284, 16.3740776,0,14,19,25,33
48.20837, 16.3664613,0,17,23,30,40
48.2091236, 16.3694951,0,15,20,26,35
48.2130751, 16.3678244,0,14,18,25,33
48.2149733, 16.3657288,0,15,21,28,36
48.2100985, 16.3708211,0,20,27,36,47
48.2111252, 16.3722544,0,13,18,24,31
48.2111771, 16.371915,0,19,25,34,45
48.2127548, 16.3727369,0,17,22,30,40
48.2144213, 16.3711201,0,11,15,20,27
48.216691, 16.3704527,0,16,21,28,37
48.2102441, 16.3743147,3,11,15,20,26
48.2116243, 16.3760225,0,15,21,28,36
48.2075056, 16.3774007,0,13,17,23,30
48.2073171, 16.3798604,0,19,26,34,45
48.2134807, 16.3627441,0,15,21,28,37
48.2139236, 16.3655434,0,17,22,30,40
48.2090371, 16.373056,0,13,18,24,31
48.1861216, 16.3755233,0,12,16,22,29
48.1715171, 16.4292183,0,15,21,28,37
48.1714375, 16.429589,0,15,20,27,36
48.1659338, 16.4314411,0,15,20,27,36
48.1618538, 16.4284442,0,18,24,32,42
48.1581679, 16.4241598,0,13,18,24,32
48.1652125, 16.4152544,0,16,21,28,37
48.1703906, 16.4095842,0,17,23,31,41
48.169501, 16.4104543,0,18,24,32,43
48.170376, 16.4106294,0,16,22,30,39
48.1806421, 16.3884753,0,14,19,26,34
48.1991124, 16.3785758,0,13,17,23,30
48.2002464, 16.376751,0,13,17,23,31
48.1991024, 16.3826498,0,15,20,27,35
48.1990616, 16.3870566,0,14,19,26,34
48.2027662, 16.3907124,0,16,22,29,39
48.1992016, 16.3917961,0,12,16,22,29
48.2002712, 16.3931951,0,13,18,24,32
48.2055524, 16.3939516,0,14,19,26,34
48.2063518, 16.3989013,0,18,24,32,42
48.2123052, 16.3696156,0,12,17,22,29
48.2172762, 16.3697267,0,14,19,26,34
48.2279542, 16.2049887,2,14,18,25,32
48.2315063, 16.197849,1,10,14,18,24
48.2445487, 16.3188655,4,15,21,28,37
48.1823677, 16.3574121,0,14,19,26,34
48.1789602, 16.3633723,3,13,18,24,32
48.2049232, 16.2022741,0,15,20,27,35
48.2051201, 16.2035515,2,15,20,27,36
48.2876289, 16.3829125,0,15,20,27,36
48.1920878, 16.2763374,3,13,17,23,31
48.1519349, 16.2642081,3,11,15,20,26
48.1544099, 16.2757063,2,11,15,20,27
48.1523941, 16.2819846,0,16,22,29,38
48.1481783, 16.2889968,3,15,20,27,36
48.2247194, 16.4549233,0,12,17,22,30
48.1379053, 16.3211335,0,16,22,29,38
48.1739958, 16.3585849,0,15,20,27,35
48.1731764, 16.3610445,0,14,19,25,33
48.2143929, 16.3620049,0,14,19,25,33
48.2147172, 16.5100591,0,18,24,32,42
48.1376893, 16.2450007,3,19,25,34,45
48.2493575, 16.532135,0,18,24,32,42
48.2292729, 16.4535234,1,13,18,24,31
48.2851672, 16.4992244,2,13,18,24,31
48.161466, 16.3250358,0,14,19,26,34
48.1750807, 16.3546695,0,16,22,29,39
48.1759549, 16.3556988,0,15,21,28,36
48.1724243, 16.3656927,0,15,20,27,35
48.1741161, 16.3261344,0,13,18,24,32
48.1742227, 16.3256771,0,14,19,25,33
48.1749273, 16.3227924,0,17,23,30,40
48.2042773, 16.3885996,0,17,23,31,41
48.274136, 16.4203412,0,18,24,32,42
48.2964406, 16.389691,0,14,19,25,33
48.2815324, 16.4060567,2,13,18,24,31
48.2913323, 16.3847302,3,15,20,27,35
48.2956284, 16.3891135,0,15,20,27,35
48.281221, 16.4085433,0,14,18,25,32
48.2938919, 16.3812429,1,16,22,30,39
48.2597865, 16.3891209,0,15,20,27,36
48.2068172, 16.2076518,4,13,18,24,32
48.1586709, 16.2810553,0,18,24,32,42
48.2015588, 16.379908,3,12,16,21,28
48.2296595, 16.2015381,1,13,18,24,31
48.1853299, 16.373075,2,9,13,17,22
48.1784664, 16.372073,0,12,16,21,28
48.1786578, 16.3687091,0,15,20,26,35
48.1786279, 16.3692659,0,19,25,34,45
48.1350291, 16.316437,0,11,15,20,27
48.1668922, 16.3002025,1,14,19,26,34
48.1414575, 16.2916416,0,11,15,21,27
48.1383123, 16.2884091,2,11,15,20,26
48.1453557, 16.2936693,3,12,16,22,29
48.1379413, 16.3216903,0,12,16,22,29
48.1362698, 16.2881763,1,10,14,19,25
48.137788, 16.3239194,3,13,17,23,31
48.1367976, 16.3140934,2,18,25,33,43
48.1458316, 16.2955186,0,13,17,23,30
48.1459602, 16.3613238,0,15,20,26,35
48.1713118, 16.3726857,2,15,20,27,35
48.2368389, 16.2880262,3,14,19,25,33
48.2403766, 16.27999,0,17,23,31,41
48.2505407, 16.3239034,4,18,24,32,42
48.2205564, 16.3856873,0,11,15,20,26
48.1698108, 16.4204015,0,15,20,27,35
48.1794092, 16.3931521,1,12,17,23,30
48.1768541, 16.3973842,0,13,17,23,31
48.1695568, 16.4200105,0,20,27,36,48
48.1694952, 16.4201043,0,15,20,27,35
48.1662765, 16.4195373,0,15,20,27,36
48.158783, 16.4184712,1,14,18,25,33
48.1593928, 16.4222007,0,17,23,31,41
48.1771858, 16.4346803,2,13,17,23,30
48.220841, 16.4072965,0,17,23,31,40
48.1998107, 16.4409752,0,19,26,35,46
48.24197, 16.3262794,2,16,21,28,37
48.2491664, 16.4106754,0,13,18,24,32
48.2497359, 16.4075701,3,13,17,23,30
48.2503736, 16.4043989,0,19,25,34,45
48.2042025, 16.3371972,0,18,24,32,42
48.2504899, 16.4038726,0,13,18,24,32
48.180485, 16.3583485,0,12,16,21,28
48.2012908, 16.314389,0,14,19,26,34
48.1911164, 16.3539855,0,17,23,31,41
48.1926033, 16.3548281,0,20,26,35,46
48.1927331, 16.3539912,0,16,22,29,38
48.192689, 16.3552982,0,14,19,25,33
48.1929672, 16.3545429,0,14,19,26,34
48.2640165, 16.4015692,0,11,15,20,27
48.18678, 16.3474784,3,12,17,22,30
48.1886509, 16.3482076,0,16,22,29,38
48.1814905, 16.3501911,3,11,15,20,27
48.1826961, 16.3522801,0,15,20,27,35
48.1840784, 16.3556406,0,17,23,31,41
48.1840521, 16.3560293,0,17,23,31,41
48.1856595, 16.3443238,0,16,22,30,39
48.1930809, 16.3297404,0,19,25,33,44
48.193466, 16.3296353,0,13,17,23,30
48.1899659, 16.3313256,0,16,22,29,38
48.1989283, 16.3202453,0,12,17,22,30
48.1859625, 16.3386944,0,18,24,32,42
48.1919521, 16.3567085,0,14,19,25,33
48.1889536, 16.3515966,0,18,24,32,42
48.1893713, 16.3517598,3,14,18,25,33
48.1960883, 16.3295928,2,12,16,22,29
48.1967511, 16.3277696,0,14,19,25,33
48.1819771, 16.3539183,0,14,19,26,34
48.1849095, 16.3409714,0,14,19,25,33
48.1879921, 16.3327967,0,15,20,26,35
48.1882023, 16.332871,0,15,21,28,37
48.1884639, 16.3565819,0,14,19,25,33
48.1831034, 16.3570351,0,14,19,26,34
48.1878512, 16.3515654,0,15,21,28,36
48.1849849, 16.3603184,0,15,20,27,36
48.1872115, 16.3579243,0,17,23,30,40
48.198521, 16.3499636,2,11,14,19,25
48.1900108, 16.3623552,0,15,20,26,35
48.188057, 16.3728035,0,15,20,27,36
48.1781123, 16.3760047,0,14,18,25,32
48.1755526, 16.3788069,0,19,25,34,45
48.2211926, 16.4592676,2,11,15,20,26
48.1406864, 16.3280258,0,14,19,25,33
48.164064, 16.3307147,0,13,18,24,32
48.1732811, 16.3306048,0,12,16,22,29
48.2330589, 16.3562198,0,14,19,26,34
48.2582138, 16.3973233,0,15,20,26,35
48.271175, 16.4197205,1,11,15,20,27
48.1672322, 16.3094847,0,16,22,29,39
48.1673077, 16.3086024,0,16,22,29,39
48.2352765, 16.4221764,0,12,16,22,29
48.16967, 16.2856366,0,19,26,35,46
48.1373315, 16.2771849,0,13,17,23,31
48.1372355, 16.2511972,3,15,20,27,36
48.1379447, 16.238893,0,16,22,29,39
48.1379937, 16.2573432,0,12,16,22,29
48.1389978, 16.2644013,2,11,14,19,25
48.2809647, 16.4262943,0,17,22,30,39
48.1580673, 16.2799444,4,14,19,25,33
48.1495804, 16.2771727,0,13,18,24,32
48.1863691, 16.2989668,0,10,14,18,24
48.2156124, 16.291834,0,16,22,30,39
48.2378316, 16.2977001,3,16,21,29,38
48.2312346, 16.2818057,0,19,26,35,46
48.1370423, 16.2777417,1,11,15,20,26
48.1379838, 16.2750113,0,20,26,35,47
48.2095195, 16.2147514,0,17,23,31,41
48.1385165, 16.2609407,2,15,20,26,35
48.173202, 16.3775297,0,14,19,25,33
48.1960103, 16.4094246,0,12,16,22,29
48.1834417, 16.3286035,0,17,23,30,40
48.1834402, 16.3284846,0,16,22,29,39
48.1831711, 16.3282495,0,14,18,25,33
48.1990239, 16.3117148,0,12,16,21,28
48.2570706, 16.4011189,0,17,22,30,40
48.2007109, 16.336967,0,18,24,32,42
48.1303122, 16.2554303,0,18,24,33,43
48.1732552, 16.3305873,0,14,19,26,34
48.1536987, 16.3491002,0,18,25,33,44
48.1824313, 16.3816562,0,15,21,28,37
48.2775932, 16.4486694,3,12,16,22,29
48.2783505, 16.4518771,2,9,13,17,22
48.2932329, 16.4184349,0,12,16,21,28
48.2932761, 16.4182797,0,13,17,23,31
48.2979403, 16.4202964,0,14,18,25,33
48.1908032, 16.3439007,0,13,18,24,31
48.217877, 16.2615222,1,13,17,23,30
48.1782981, 16.3577561,0,19,25,34,45
48.2002887, 16.3660428,0,16,22,29,38
48.1541178, 16.3826843,0,18,24,33,43
48.2205538, 16.4023478,0,14,19,25,33
48.2222122, 16.399017,0,11,15,21,27
48.215036, 16.4135136,0,12,16,22,29
48.2181993, 16.4011235,2,11,15,20,27
48.2160511, 16.4149436,0,13,17,23,31
48.2181718, 16.4035972,0,16,22,29,38
48.236159, 16.388824,0,19,26,34,45
48.1313922, 16.2424272,0,17,23,31,41
48.1301928, 16.2547198,1,15,21,28,36
48.1324621, 16.2584594,3,14,19,26,34
48.133479, 16.2616913,4,11,15,20,27
48.2497251, 16.3648249,0,12,16,21,28
48.254467, 16.3651335,0,14,19,26,34
48.2702148, 16.3610988,0,15,21,28,36
48.2850568, 16.3452667,1,16,22,29,38
48.1691493, 16.3576274,0,17,23,31,41
48.2517317, 16.4052242,0,10,14,19,25
48.2333208, 16.3927834,0,16,21,29,38
48.2410887, 16.38385,0,15,20,27,36
48.265706, 16.3276255,0,15,21,28,36
48.1493418, 16.2991221,0,16,21,28,37
48.1506723, 16.2999439,0,13,17,23,31
48.1537231, 16.3016161,2,14,19,26,34
48.1538896, 16.3018402,0,15,20,26,35
48.1571015, 16.305245,0,15,20,26,35
48.1592462, 16.3082062,0,15,20,27,36
48.1596812, 16.3087915,0,17,22,30,39
48.1620135, 16.3118845,0,19,26,34,45
48.1676654, 16.3190028,0,10,13,18,23
48.1680357, 16.3194112,0,14,19,25,33
48.1722047, 16.3269704,0,18,24,32,42
48.174581, 16.3311682,0,12,16,22,29
48.1571124, 16.4690942,2,12,17,23,30
48.2844597, 16.4489215,0,14,19,26,34
48.2818742, 16.4487288,3,16,22,29,39
48.2822279, 16.4502916,0,13,18,24,32
48.2139175, 16.3793576,3,11,15,20,26
48.2041027, 16.2697525,3,17,22,30,40
48.2052857, 16.272709,1,13,17,23,31
48.205412, 16.2732817,0,14,19,25,33
48.2036423, 16.2788907,3,16,21,29,38
48.2033063, 16.2754342,3,13,18,24,32
48.2835134, 16.4171543,3,17,22,30,39
48.1697742, 16.3455265,0,16,22,29,39
48.1654284, 16.3654655,0,14,19,25,33
48.1655721, 16.3640469,0,16,21,29,38
48.2270334, 16.2962072,2,18,24,32,42
48.226812, 16.2809181,0,14,19,26,34
48.2511708, 16.4970625,3,12,16,21,28
48.2843551, 16.4510094,2,18,24,32,42
48.1942345, 16.4071178,0,16,21,28,37
48.2269355, 16.3564787,0,13,18,24,31
48.2863276, 16.4309677,0,15,20,26,35
48.2466119, 16.3349381,0,17,23,30,40
48.1271877, 16.2287914,2,14,19,25,33
48.1318367, 16.2467216,1,16,21,29,38
48.1337002, 16.2723959,2,18,25,33,44
48.1337832, 16.2717758,0,18,24,32,43
48.1885754, 16.3787482,0,17,22,30,39
48.1676006, 16.3092232,0,10,13,18,24
48.1881173, 16.3015393,2,15,20,27,35
48.2155071, 16.385992,3,13,18,24,31
48.1679257, 16.3540411,0,13,17,23,30
48.1677016, 16.3545592,2,10,14,19,25
48.2245644, 16.3055749,2,20,27,37,48
48.2063204, 16.2331512,1,15,21,28,36
48.1374462, 16.3176543,2,12,17,23,30
48.1449763, 16.2590164,0,14,19,26,34
48.1358975, 16.2664815,4,9,12,16,21
48.1335536, 16.2621351,0,10,14,19,25
48.136769, 16.2770881,0,16,22,29,38
48.1359875, 16.278215,2,13,17,23,30
48.2160793, 16.5315263,3,12,17,22,30
48.190513, 16.3664731,0,14,19,25,33
48.1750239, 16.3492378,0,17,22,30,39
48.2097617, 16.5035976,4,12,17,22,29
48.1544241, 16.4667838,0,13,17,23,30
48.1577576, 16.4531019,0,15,21,28,37
48.1601206, 16.4613333,0,12,16,21,28
48.1599911, 16.4574766,0,16,21,28,37
48.1599753, 16.4654743,0,18,24,32,42
48.1559314, 16.4515588,1,19,25,33,44
48.1523548, 16.4490636,0,15,21,28,37
48.1542386, 16.4504918,0,14,19,25,33
48.1497962, 16.457992,0,14,19,25,33
48.1505904, 16.4559499,0,17,23,31,40
